page_type,page,keyword,avg_monthly,competition,source_run,source_file,recommendation,reason
L2 Product,Sinks,franke kitchen sink near me,50,Low,2.0,franke-wide.csv,Keep,Relevant
L2 Product,Sinks,franke kitchen sink price,50,High,2.0,franke-wide.csv,Keep,Relevant
L2 Product,Sinks,franke kitchen sink price list,50,Unknown,2.0,franke-wide.csv,Keep,Relevant
L2 Product,Chimneys,best kitchen chimney in chennai,50,High,2.0,chimney.csv,Keep,Relevant
L2 Product,Chimneys,carysil chimney price,50,High,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Chimneys,carysil chimney price list,50,High,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Chimneys,chimney price chennai,50,High,2.0,chimney.csv,Keep,Relevant
L2 Product,Chimneys,chimney price in chennai,50,High,2.0,chimney.csv,Keep,Relevant
L2 Product,Chimneys,chimney showroom chennai,50,Low,2.0,chimney.csv,Keep,Relevant
L2 Product,Chimneys,chimney showroom in chennai,50,Low,2.0,chimney.csv,Keep,Relevant
L2 Product,Chimneys,electric chimney price in chennai,50,Unknown,2.0,chimney.csv,Keep,Relevant
L2 Product,Chimneys,elica chimney price in chennai,50,High,2.0,chimney.csv,Keep,Relevant
L2 Product,Chimneys,elica chimney showroom chennai,50,Low,2.0,chimney.csv,Keep,Relevant
L2 Product,Chimneys,elica chimney showroom in chennai,50,Unknown,2.0,chimney.csv,Keep,Relevant
L2 Product,Chimneys,faber chimney price chennai,50,High,2.0,chimney.csv,Keep,Relevant
L2 Product,Kitchen Sinks & Faucets,kitchen sink chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Kitchen Sinks & Faucets,carysil kitchen sink dealers near me,50,Unknown,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Kitchen Sinks & Faucets,carysil kitchen sink near me,50,Medium,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Kitchen Sinks & Faucets,carysil kitchen sink price,50,Medium,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Kitchen Sinks & Faucets,carysil kitchen sink price list,50,High,2.0,carysil-wide.csv,Keep,Relevant
L2 Product,Kitchen Sinks & Faucets,carysil quartz kitchen sink price list,50,High,2.0,carysil-wide.csv,Keep,Relevant
